x,y,u,v,p
0.415,0.005,-0.02991104,0.001292308,0.1109674
0.425,0.005,-0.0332665,0.001285088,0.1106752
0.435,0.005,-0.0365546,0.001253439,0.1104759
0.445,0.005,-0.03970986,0.00119609,0.1103847
0.455,0.005,-0.04266489,0.001112281,0.110415
0.465,0.005,-0.0453517,0.00100177,0.1105776
0.475,0.005,-0.04770311,0.000864831,0.1108798
0.485,0.005,-0.04965403,0.000702271,0.1113251
0.495,0.005,-0.05114284,0.00051546,0.1119121
0.505,0.005,-0.05211283,0.000306364,0.1126344
0.515,0.005,-0.05251362,7.75841E-05,0.1134799
0.525,0.005,-0.05230277,-0.000167575,0.1144306
0.535,0.005,-0.05144784,-0.000424843,0.1154631
0.545,0.005,-0.04992832,-0.000689146,0.116548
0.555,0.005,-0.04773753,-0.000954545,0.1176513
0.565,0.005,-0.0448846,-0.001214228,0.1187351
0.575,0.005,-0.04139625,-0.00146063,0.1197588
0.585,0.005,-0.03731818,-0.001685653,0.1206814
0.595,0.005,-0.03271588,-0.001880988,0.1214631
0.605,0.005,-0.02767442,-0.002038554,0.1220677
0.615,0.005,-0.02229731,-0.002151022,0.1224655
0.625,0.005,-0.01670392,-0.002212394,0.1226347
0.635,0.005,-0.01102576,-0.002218569,0.1225639
0.645,0.005,-0.005401391,-0.002167835,0.1222529
0.655,0.005,2.95235E-05,-0.002061192,0.121713
0.665,0.005,0.005132766,-0.001902497,0.1209668
0.675,0.005,0.009786276,-0.001698376,0.1200464
0.685,0.005,0.01388631,-0.001457773,0.118991
0.695,0.005,0.01735251,-0.001191383,0.1178442
0.705,0.005,0.02013142,-0.0009109,0.1166509
0.715,0.005,0.02219836,-0.000628199,0.1154542
0.725,0.005,0.02355732,-0.000354554,0.1142927
0.735,0.005,0.02423906,-9.99481E-05,0.1131989
0.745,0.005,0.02429777,0.00012739,0.1121973
0.755,0.005,0.02380666,0.000321377,0.1113046
0.765,0.005,0.0228525,0.000478324,0.1105294
0.775,0.005,0.02152982,0.000596842,0.1098734
0.785,0.005,0.01993528,0.000677681,0.1093326
0.795,0.005,0.01816248,0.000723435,0.1088983
0.805,0.005,0.01629753,0.000738158,0.1085592
0.815,0.005,0.01441559,0.000726896,0.1083021
0.825,0.005,0.01257865,0.000695203,0.1081136
0.835,0.005,0.01083455,0.000648677,0.1079809
0.845,0.005,0.009217068,0.000592561,0.1078921
0.855,0.005,0.007747116,0.000531451,0.1078369
0.865,0.005,0.006434454,0.00046913,0.1078067
