    x p
    0.390624999999978E-03    0.144843786577094E+00
    0.117187499999999E-02    0.252762256932386E-01
    0.195312500000000E-02   -0.485083053822504E-01
    0.273437500000001E-02   -0.981333653938961E-01
    0.351562500000002E-02   -0.137142506149601E+00
    0.429687499999998E-02   -0.169651569619033E+00
    0.507812499999999E-02   -0.196631515175532E+00
    0.585937500000000E-02   -0.220334642763220E+00
    0.664062500000001E-02   -0.242252533670274E+00
    0.742187500000002E-02   -0.262704173082839E+00
    0.820312499999998E-02   -0.281667048912720E+00
    0.898437499999999E-02   -0.299188071924179E+00
    0.976562500000000E-02   -0.315494984441442E+00
    0.105468750000000E-01   -0.330592193098219E+00
    0.113281250000000E-01   -0.344668551114750E+00
    0.121093750000000E-01   -0.357510966596171E+00
    0.128906250000000E-01   -0.368835416066454E+00
    0.136718750000000E-01   -0.379000689060875E+00
    0.144531250000000E-01   -0.388107860263898E+00
    0.152343750000000E-01   -0.396022898581000E+00
    0.160156250000000E-01   -0.402466083725364E+00
    0.167968750000000E-01   -0.407887400820615E+00
    0.175781250000000E-01   -0.412581882650805E+00
    0.183593750000000E-01   -0.416686654991698E+00
    0.191406250000000E-01   -0.420127489373133E+00
    0.199218750000000E-01   -0.423128381372520E+00
    0.207031250000000E-01   -0.425988965189569E+00
    0.214843750000000E-01   -0.428742747880522E+00
    0.222656250000000E-01   -0.431384217182816E+00
    0.230468750000000E-01   -0.433837544817330E+00
    0.238281250000000E-01   -0.436039447495669E+00
    0.246093750000000E-01   -0.438062219345143E+00
    0.253906250000000E-01   -0.439915641689528E+00
    0.261718750000000E-01   -0.441552074004392E+00
    0.269531250000000E-01   -0.442859598055142E+00
    0.277343750000000E-01   -0.443944136840745E+00
    0.285156250000000E-01   -0.444881861527718E+00
    0.292968750000000E-01   -0.445687686491455E+00
    0.300781250000000E-01   -0.446334578008591E+00
    0.308593750000000E-01   -0.446799862708222E+00
    0.316406250000000E-01   -0.447191200661152E+00
    0.324218750000000E-01   -0.447534844525649E+00
    0.332031250000000E-01   -0.447836217425345E+00
    0.339843750000000E-01   -0.448082237192700E+00
    0.347656250000000E-01   -0.448290696900963E+00
    0.355468750000000E-01   -0.448498328352583E+00
    0.363281250000000E-01   -0.448708178025571E+00
    0.371093750000000E-01   -0.448918720240700E+00
    0.378906250000000E-01   -0.449114802526486E+00
    0.386718750000000E-01   -0.449209783001566E+00
    0.394531250000000E-01   -0.449218263049559E+00
    0.402343750000000E-01   -0.449148049221949E+00
    0.410156250000000E-01   -0.448978472233032E+00
    0.417968750000000E-01   -0.448663258260522E+00
    0.425781250000000E-01   -0.448219248550181E+00
    0.433593750000000E-01   -0.447696395124824E+00
    0.441406250000000E-01   -0.447105838779570E+00
    0.449218750000000E-01   -0.446438605915321E+00
    0.457031250000000E-01   -0.445680641417999E+00
    0.464843750000000E-01   -0.444917524328664E+00
    0.472656250000000E-01   -0.444160759500327E+00
    0.480468750000000E-01   -0.443411861962257E+00
    0.488281250000000E-01   -0.442673456780221E+00
    0.496093750000000E-01   -0.441937680838892E+00
    0.503906250000000E-01   -0.441185406982415E+00
    0.511718750000000E-01   -0.440421650509508E+00
    0.519531250000000E-01   -0.439646178365162E+00
    0.527343750000000E-01   -0.438852890484144E+00
    0.535156250000000E-01   -0.438062226203091E+00
    0.542968750000000E-01   -0.437306336347266E+00
    0.550781250000000E-01   -0.436577064170840E+00
    0.558593750000000E-01   -0.435874349326766E+00
    0.566406250000000E-01   -0.435206206207585E+00
    0.574218750000000E-01   -0.434555733978048E+00
    0.582031250000000E-01   -0.433900171079808E+00
    0.589843750000000E-01   -0.433240663393664E+00
    0.597656250000000E-01   -0.432576129324184E+00
    0.605468750000000E-01   -0.431900400309646E+00
    0.613281250000000E-01   -0.431133297235337E+00
    0.621093750000000E-01   -0.430278839946846E+00
    0.628906250000000E-01   -0.429354391609792E+00
    0.636718750000000E-01   -0.428356219084680E+00
    0.644531250000000E-01   -0.427257690891337E+00
    0.652343750000000E-01   -0.426131527753455E+00
    0.660156250000000E-01   -0.425015026847680E+00
    0.667968750000000E-01   -0.423907307572590E+00
    0.675781250000000E-01   -0.422809330603220E+00
    0.683593750000000E-01   -0.421727994400573E+00
    0.691406250000000E-01   -0.420685047458289E+00
    0.699218750000000E-01   -0.419670579686458E+00
    0.707031250000000E-01   -0.418680019820446E+00
    0.714843750000000E-01   -0.417715603032647E+00
    0.722656250000000E-01   -0.416789479775600E+00
    0.730468750000000E-01   -0.415896814546192E+00
    0.738281250000000E-01   -0.415024938508067E+00
    0.746093750000000E-01   -0.414171522271533E+00
    0.753906250000000E-01   -0.413339631067525E+00
    0.761718750000000E-01   -0.412541463397438E+00
    0.769531250000000E-01   -0.411773997985405E+00
    0.777343750000000E-01   -0.411026846678081E+00
    0.785156250000000E-01   -0.410298282388745E+00
    0.792968750000000E-01   -0.409591899371480E+00
    0.800781250000000E-01   -0.408907488871767E+00
    0.808593750000000E-01   -0.408214664539290E+00
    0.816406250000000E-01   -0.407514497778625E+00
    0.824218750000000E-01   -0.406807452890963E+00
    0.832031250000000E-01   -0.406091404441253E+00
    0.839843750000000E-01   -0.405352752601555E+00
    0.847656250000000E-01   -0.404584567652489E+00
    0.855468750000000E-01   -0.403795834736305E+00
    0.863281250000000E-01   -0.402987518203633E+00
    0.871093750000000E-01   -0.402153991914483E+00
    0.878906250000000E-01   -0.401288984544582E+00
    0.886718750000000E-01   -0.400410791507310E+00
    0.894531250000000E-01   -0.399523704927086E+00
    0.902343750000000E-01   -0.398628029206907E+00
